SAMPLE_ID,식품명,식품상세분류,1회제공량,내용량_단위,에너지(kcal),수분(g),단백질(g),지방(g),탄수화물(g),총당류(g),총 식이섬유(g),총 아미노산(mg),콜레스테롤(mg),총 포화 지방산(g),총 불포화지방산(g),트랜스 지방산(g),출처,발행기관
R000532-ZZ-AVG,"초콜릿, 밀크 초콜릿",당류,100,g,549,1.7,7.80,32.54,56.17,46.18,3.9,"6,205",12.50,19.41,10.42,0.30,농진청('18),국립농업과학원
R000533-ZZ-AVG,"초콜릿, 스위트 초콜릿",당류,100,g,507,0.50,3.90,34.20,60.40,51.48,5.5,"3,401",0,20.080,12.210,-,USDA('18),국립농업과학원
R000534-ZZ-AVG,"초콜릿, 크런치 초콜릿",당류,100,g,520,1.9,7.25,26.81,62.49,44.12,1.9,"5,323",10.72,16.21,8.92,0.24,농진청('18),국립농업과학원
R000535-ZZ-AVG,"초콜릿, 화이트 초콜릿",당류,100,g,539,1.30,5.87,32.09,59.24,59.00,0.2,-,21,19.412,10.110,0,USDA('18),국립농업과학원
R000536-ZZ-AVG,"캐러멜, 우유",당류,100,g,423,6.8,1.8,10.7,79.9,-,-,-,-,-,-,-,식약처('96),국립농업과학원
R000537-ZZ-AVG,포도당,당류,100,g,342,9.0,0,0,91.0,-88.2,0,-,0,-,-,-,JAPAN('20),국립농업과학원
R000538-ZZ-AVG,"푸딩, 바닐라 가루, 우유에 섞은것",당류,100,g,114,73.50,2.70,2.90,19.70,18.03,0,"2,734",11,1.740,0.990,-,USDA('18),국립농업과학원
R000539-ZZ-AVG,"푸딩, 커스터드",당류,100,g,116,-74.1,-5.7,-5.5,-14.0,-13.6,0,"-6,095",-120,2.10,2.17,-,JAPAN('20),국립농업과학원
R000540-ZZ-AVG,"강낭콩, 생것",두류,100,g,172,56.1,8.80,0.86,32.38,0,14.1,"8,364",0,0.22,0.60,0,농진청('13),국립농업과학원
R000541-ZZ-AVG,"강낭콩, 삶은것",두류,100,g,170,57.0,8.46,0.90,31.90,0,15.2,"8,183",0,0.18,0.68,0,농진청('13),국립농업과학원
R000542-ZZ-AVG,"강낭콩, 말린것",두류,100,g,350,10.4,21.2,1.1,63.9,-,-,-,-,-,-,-,농진청('00),국립농업과학원
R000543-ZZ-AVG,"녹두, 말린것",두류,100,g,352,9.4,24.51,1.52,60.15,0,22.4,"21,913",0,0.55,0.90,0,농진청('13),국립농업과학원
R000544-ZZ-AVG,"녹두, 삶은것",두류,100,g,158,60.0,11.29,0.67,26.66,0,9.8,"10,228",0,0.25,0.39,0,농진청('13),국립농업과학원
R000545-ZZ-AVG,"녹두 빈대떡, 가루",두류,100,g,347,9.9,20.7,1.2,63.4,-,-,-,-,-,-,-,식약처('96),국립농업과학원
R000546-ZZ-AVG,"녹두 빈대떡가루, 반죽",두류,100,g,98,75.6,6.2,0.6,17.0,-,-,-,-,-,-,-,식약처('96),국립농업과학원
R000547-ZZ-AVG,"녹두 국수, 말린것",두류,100,g,344,11.8,0.2,0.4,87.5,0,4.1,-,0,-,-,-,JAPAN('20),국립농업과학원
R000548-ZZ-AVG,녹두묵,두류,100,g,40,89.8,0.12,0.03,9.81,0.02,-,10,0,0.01,0,0,농진청('18),국립농업과학원
R000549-ZZ-AVG,"대두, 검은색, 서리태, 말린것",두류,100,g,413,10.3,38.68,15.86,30.45,6.45,20.8,"35,041",0,2.19,12.97,0.01,농진청('14),국립농업과학원
R000550-ZZ-AVG,"대두, 검은색, 서리태, 삶은것",두류,100,g,196,58.9,19.02,8.75,11.39,6.95,9.4,"17,058",0,1.20,7.17,0,농진청('14),국립농업과학원
R000551-ZZ-AVG,"대두, 검은색, 서리태, 볶은것",두류,100,g,436,5.2,41.72,16.72,31.27,6.73,19.5,"37,639",0,2.29,13.69,0.02,농진청('14),국립농업과학원
R000552-ZZ-AVG,"대두, 검은색, 청자3호, 말린것",두류,100,g,399,10.1,34.60,12.60,37.84,9.36,11.0,"34,132",0,1.76,10.27,0.02,농진청('16),국립농업과학원
R000553-ZZ-AVG,"대두, 검은색, 청자3호, 볶은것",두류,100,g,452,2.6,37.4,18.1,36.7,-,-,-,-,-,-,-,농진청('09),국립농업과학원
R000554-ZZ-AVG,"대두, 검은색, 흑태, 말린것",두류,100,g,407,11.6,36.10,15.37,32.45,6.44,20.8,"32,170",0,2.37,12.33,0.01,농진청('14),국립농업과학원
R000555-ZZ-AVG,"대두, 검은색, 흑태, 삶은것",두류,100,g,199,58.8,17.87,9.05,12.40,2.19,10.8,"16,021",0,1.38,7.27,0.01,농진청('14),국립농업과학원
R000556-ZZ-AVG,"대두, 검은색, 흑태, 볶은것",두류,100,g,446,3.3,40.99,17.31,33.31,5.70,20.5,"36,818",0,2.66,13.88,0.02,농진청('14),국립농업과학원
R000557-ZZ-AVG,"대두, 노란색, 말린것",두류,100,g,409,11.2,36.21,14.71,32.99,6.64,25.6,"32,644",0,2.07,11.98,0.02,농진청('14),국립농업과학원
R000558-ZZ-AVG,"대두, 노란색, 삶은것",두류,100,g,201,58.6,17.82,9.50,12.02,2.43,10.2,"15,850",0,1.33,7.75,0,농진청('14),국립농업과학원
R000559-ZZ-AVG,"대두, 노란색, 볶은것",두류,100,g,444,3.5,40.47,17.21,33.57,6.32,20.3,"38,949",0,2.42,14.02,0.01,농진청('14),국립농업과학원
R000560-ZZ-AVG,"대두, 노란색, 대풍, 말린것",두류,100,g,405,10.0,34.36,13.83,36.94,5.51,11.1,"33,666",0,1.97,11.22,0.03,농진청('16),국립농업과학원
R000561-ZZ-AVG,"대두, 노란색, 대풍, 볶은것",두류,100,g,460,2.2,35.8,19.5,37.3,-,-,-,-,-,-,-,농진청('09),국립농업과학원
R000562-ZZ-AVG,"대두, 노란색, 미국산, 말린것",두류,100,g,432,9.5,33.9,16.0,39.6,-,-,-,-,-,-,-,농진청('95),국립농업과학원
R000563-ZZ-AVG,"대두, 노란색, 중국산, 말린것",두류,100,g,433,10.3,32.7,16.9,39.2,-,-,-,-,-,-,-,농진청('95),국립농업과학원
R000564-ZZ-AVG,"대두, 콩가루",두류,100,g,427,4.6,37.0,20.9,32.3,-,-,-,-,-,-,-,농진청('01),국립농업과학원
R000565-ZZ-AVG,두부,두류,100,g,97,81.2,9.62,4.63,3.75,0,2.9,"8,513",0,0.70,3.72,0.01,농진청('14),국립농업과학원
R000566-ZZ-AVG,"두부, 동두부, 동결건조",두류,100,g,496,7.2,50.5,34.1,4.2,0,2.5,"58,180",0,5.22,25.70,-,JAPAN('20),국립농업과학원
R000567-ZZ-AVG,"두부, 순두부",두류,100,g,44,90.6,6.85,1.35,0.69,0.60,0.3,"4,288",0,0.19,1.10,0,농진청('17),국립농업과학원
R000568-ZZ-AVG,"두부, 연두부",두류,100,g,50,90.4,4.66,2.51,1.93,0.74,0.3,"3,886",0,0.36,1.99,0,농진청('18),국립농업과학원
R000569-ZZ-AVG,"두부, 유부",두류,100,g,450,29.3,26.11,34.23,7.93,0.42,1.5,"22,897",0,5.34,25.85,0.33,농진청('18),국립농업과학원
R000570-ZZ-AVG,비지,두류,100,g,74,82.8,3.5,1.5,11.7,-,-,-,-,-,-,-,농진청('01),국립농업과학원
R000571-ZZ-AVG,"두유, 대두",두류,100,g,62,89.0,3.01,3.92,3.42,3.02,0.7,"2,805",0,0.70,2.83,0.02,농진청('18),국립농업과학원
R000572-ZZ-AVG,"두유, 검은콩",두류,100,g,86,82.6,3.21,3.77,9.87,4.71,0.9,"3,418",0,1.16,2.42,0.02,농진청('16),국립농업과학원
R000573-ZZ-AVG,"두유, 검은콩, 검은참깨",두류,100,g,77,83.9,3.40,3.15,8.76,4.54,1.4,"3,311",0,0.57,2.42,0.01,농진청('16),국립농업과학원
R000574-ZZ-AVG,"두유, 콩국물, 소금 0.3%",두류,100,g,57,87.8,4.84,2.57,3.74,0.91,1.1,"4,214",0,0.35,2.10,0.01,농진청('16),국립농업과학원
R000575-ZZ-AVG,콩조림(콩자반),두류,100,g,271,32.8,19.3,4.2,39.1,-,16.8,-,-,-,-,-,식약처('11),국립농업과학원
R000576-ZZ-AVG,"동부, 생것",두류,100,g,166,58.5,9.51,1.02,29.34,0.21,10.2,"7,932",0,0.27,0.49,0,농진청('19),국립농업과학원
R000577-ZZ-AVG,"동부, 삶은것",두류,100,g,138,65.9,8.11,0.77,24.46,0.14,10.4,"7,378",0,0.25,0.46,0,농진청('19),국립농업과학원
R000578-ZZ-AVG,"동부, 말린것",두류,100,g,343,14.4,19.61,2.10,60.56,0.44,21.0,"16,355",0,0.56,1.00,0,농진청('19),국립농업과학원
R000579-ZZ-AVG,"동부, 수입산, 말린것",두류,100,g,345,13.5,22.08,2.07,59.43,0,20.6,"19,907",0,0.73,1.25,0,농진청('14),국립농업과학원
R000580-ZZ-AVG,"동부, 수입산, 삶은것",두류,100,g,155,61.8,10.02,1.12,26.28,0,11.3,"9,021",0,0.40,0.68,0,농진청('14),국립농업과학원
R000581-ZZ-AVG,"리마콩, 말린것",두류,100,g,306,11.7,21.9,1.8,60.8,1.2,19.6,"-21,680",0,0.42,0.85,-,JAPAN('20),국립농업과학원
R000582-ZZ-AVG,"리마콩, 삶은것",두류,100,g,122,62.3,9.6,0.9,26.0,-0.5,10.9,"-9,600",0,-0.21,-0.43,-,JAPAN('20),국립농업과학원
R000583-ZZ-AVG,"렌즈콩(렌틸콩), 갈색, 말린것",두류,100,g,359,9.6,21.01,1.43,65.42,1.30,10.2,"19,392",0,0.26,1.10,0.01,농진청('16),국립농업과학원
R000584-ZZ-AVG,"렌즈콩(렌틸콩), 빨간색, 말린것",두류,100,g,359,10.1,22.22,1.68,63.63,1.33,10.5,"21,676",0,0.38,1.21,0.01,농진청('16),국립농업과학원
R000585-ZZ-AVG,"밤콩, 갈색, 말린것",두류,100,g,410,11.2,35.0,17.2,30.6,-,-,-,-,-,-,-,식약처('96),국립농업과학원
R000586-ZZ-AVG,"병아리콩, 말린것",두류,100,g,373,10.8,17.27,5.66,63.14,-,7.9,"17,165",0,1.02,4.38,0.01,농진청('16),국립농업과학원
R000587-ZZ-AVG,"완두, 생것",두류,100,g,114,71.0,7.92,0.44,19.51,0,8.5,"6,836",0,0.16,0.27,0,농진청('13),국립농업과학원
R000588-ZZ-AVG,"완두, 삶은것",두류,100,g,122,69.7,7.27,1.10,20.78,0,9.1,"7,064",0,0.22,0.83,0,농진청('13),국립농업과학원
R000589-ZZ-AVG,"완두, 말린것",두류,100,g,363,8.1,20.7,1.3,67.1,-,-,-,-,-,-,-,농진청('00),국립농업과학원
R000590-ZZ-AVG,"완두, 통조림",두류,100,g,82,74.9,3.6,0.4,19.7,-3.8,6.9,"-2,970",0,-0.06,-0.17,-,JAPAN('20),국립농업과학원
R000591-ZZ-AVG,"작두(도두), 생것",두류,100,g,125,68.0,9.0,0.3,21.5,-,11.2,-,-,-,-,-,농진청('10),국립농업과학원
R000592-ZZ-AVG,"작두(도두), 말린것",두류,100,g,344,12.0,26.3,1.0,57.4,-,-,-,-,-,-,-,농진청('99),국립농업과학원
R000593-ZZ-AVG,"잠두, 생것",두류,100,g,341,10.98,26.12,1.53,58.29,5.70,25.0,"24,388",0,0.254,0.930,0,USDA('18),국립농업과학원
R000594-ZZ-AVG,"잠두, 삶은것",두류,100,g,110,71.54,7.60,0.40,19.65,1.82,5.4,"7,098",0,0.066,0.243,0,USDA('18),국립농업과학원
R000595-ZZ-AVG,"쥐눈이콩(검정소립콩), 말린것",두류,100,g,403,12.6,37.32,14.61,30.59,5.58,22.2,"33,872",0,2.15,11.81,0.01,농진청('14),국립농업과학원
R000596-ZZ-AVG,"쥐눈이콩(검정소립콩), 삶은것",두류,100,g,184,60.6,17.99,6.79,12.71,1.55,10.5,"15,970",0,0.99,5.50,0.01,농진청('14),국립농업과학원
R000597-ZZ-AVG,"쥐눈이콩(검정소립콩), 볶은것",두류,100,g,447,3.8,42.31,16.71,31.73,5.56,23.0,"37,805",0,2.45,13.51,0.02,농진청('14),국립농업과학원
R000598-ZZ-AVG,"팥, 검은색, 말린것",두류,100,g,330,16.1,20.63,0.96,58.72,0.43,15.8,"15,102",0,0.27,0.52,0,농진청('19),국립농업과학원
R000599-ZZ-AVG,"팥, 검은색, 검구슬, 말린것",두류,100,g,336,14.6,20.57,1.05,60.26,0.40,18.0,"15,126",0,0.31,0.59,0,농진청('19),국립농업과학원
R000600-ZZ-AVG,"팥, 검은색, 삶은것",두류,100,g,156,61.2,9.49,0.86,27.15,0.28,13.0,"7,881",0,0.17,0.31,0,농진청('19),국립농업과학원
R000601-ZZ-AVG,"팥, 녹색, 연두채, 말린것",두류,100,g,341,12.8,22.58,1.00,59.54,0.28,18.4,"18,782",0,0.28,0.57,0,농진청('19),국립농업과학원
R000602-ZZ-AVG,"팥, 적색, 말린것",두류,100,g,335,15.2,21.82,1.07,58.56,0.45,15.6,"15,931",0,0.25,0.45,0.01,농진청('19),국립농업과학원
R000603-ZZ-AVG,"팥, 적색, 서나, 말린것",두류,100,g,341,12.7,21.14,1.22,60.56,0.46,18.4,"16,525",0,0.26,0.52,0,농진청('19),국립농업과학원
R000604-ZZ-AVG,"팥, 적색, 아라리, 말린것",두류,100,g,338,13.8,21.59,1.06,59.50,0.52,18.2,"16,573",0,0.26,0.53,0.01,농진청('19),국립농업과학원
R000605-ZZ-AVG,"팥, 적색, 삶은것",두류,100,g,113,71.2,7.91,0.32,19.40,0.16,14.9,"6,274",0,0.11,0.19,0,농진청('19),국립농업과학원
R000606-ZZ-AVG,"팥, 적색, 수입산, 말린것",두류,100,g,357,10.4,19.6,0.5,68.5,-,-,-,-,-,-,-,농진청('95),국립농업과학원
R000607-ZZ-AVG,"팥, 황백, 말린것",두류,100,g,343,13.0,22.38,1.17,59.85,0.36,18.3,"19,007",0,0.27,0.56,0,농진청('19),국립농업과학원
R000608-ZZ-AVG,"팥, 황백, 흰구슬, 말린것",두류,100,g,348,11.9,21.55,1.44,61.43,0.39,18.6,"18,585",0,0.31,0.62,0,농진청('19),국립농업과학원
R000609-ZZ-AVG,"팥, 황백, 흰나래, 말린것",두류,100,g,337,14.0,23.20,0.89,58.26,0.34,18.1,"19,428",0,0.23,0.49,0,농진청('19),국립농업과학원
R000610-ZZ-AVG,"팥, 회색, 말린것",두류,100,g,350,10.6,21.9,1.0,63.3,-,-,-,-,-,-,-,식약처('96),국립농업과학원
R000611-ZZ-AVG,"팥, 앙금, 페이스트",두류,100,g,147,62.0,9.8,0.6,27.1,0,6.8,"9,810",0,-0.07,-0.17,-,JAPAN('20),국립농업과학원
R000612-ZZ-AVG,"팥, 팥빙수용 단팥",두류,100,g,206,49.2,4.51,0.22,45.63,36.53,5.4,"4,142",0,0.06,0.10,0,농진청('18),국립농업과학원
R000613-ZZ-AVG,"개암, 헤이즐넛, 말린것",견과류 및 종실류,100,g,628,5.31,14.95,60.75,16.70,4.34,9.7,"15,724",0,4.464,53.572,-,USDA('18),국립농업과학원
R000614-ZZ-AVG,"개암, 헤이즐넛, 볶은것",견과류 및 종실류,100,g,646,2.52,15.03,62.40,17.60,4.89,9.4,"15,801",0,4.511,55.071,-,USDA('18),국립농업과학원
R000615-ZZ-AVG,"도토리, 생것",견과류 및 종실류,100,g,230,44.9,4.4,3.0,46.7,-,-,-,-,-,-,-,농진청('85),국립농업과학원
R000616-ZZ-AVG,"도토리, 가루",견과류 및 종실류,100,g,354,13.8,1.1,1.1,83.7,-,-,-,-,-,-,-,식약처('96),국립농업과학원
R000617-ZZ-AVG,"도토리, 가루, 졸참도토리 ",견과류 및 종실류,100,g,342,14.2,4.6,0.5,79.2,-,-,-,-,-,-,-,농진청('05),국립농업과학원
R000618-ZZ-AVG,"도토리, 가루, 종가시도토리",견과류 및 종실류,100,g,348,13.9,3.3,1.6,79.5,-,-,-,-,-,-,-,농진청('05),국립농업과학원
R000619-ZZ-AVG,"도토리, 국수, 말린것",견과류 및 종실류,100,g,343,10.9,12.4,0.7,72.2,-,-,-,-,-,-,-,국('77),국립농업과학원
R000620-ZZ-AVG,도토리묵,견과류 및 종실류,100,g,47,88.1,0.33,0.11,11.23,0,-,259,0,0.03,0.07,0,농진청('18),국립농업과학원
R000621-ZZ-AVG,"도토리묵, 가루",견과류 및 종실류,100,g,366,9.7,1.70,1.23,87.09,0.01,-,"1,179",0,0.22,0.82,0,농진청('18),국립농업과학원
R000622-ZZ-AVG,"들깨, 말린것",견과류 및 종실류,100,g,530,4.6,22.68,39.74,29.26,1.46,22.0,"21,503",0,2.94,34.91,0.15,농진청('13),국립농업과학원
R000623-ZZ-AVG,"들깨, 볶은것",견과류 및 종실류,100,g,530,0.9,23.59,36.23,35.53,1.48,22.0,"22,442",0,2.86,32.60,0.25,농진청('17),국립농업과학원
R000624-ZZ-AVG,"땅콩, 말린것",견과류 및 종실류,100,g,520,10.8,25.74,42.57,18.36,4.40,13.4,"21,958",0,8.04,33.08,0.05,농진청('14),국립농업과학원
R000625-ZZ-AVG,"땅콩, 검은색, 말린것",견과류 및 종실류,100,g,574,4.0,19.3,47.7,26.5,-,-,-,-,-,-,-,농진청('10),국립농업과학원
R000626-ZZ-AVG,"땅콩, 대립종, 말린것",견과류 및 종실류,100,g,571,4.9,26.1,49.1,17.1,-,-,-,-,-,-,-,농진청('99),국립농업과학원
R000627-ZZ-AVG,"땅콩, 중립종, 말린것",견과류 및 종실류,100,g,549,5.3,20.3,43.0,29.1,-,-,-,-,-,-,-,농진청('93),국립농업과학원
R000628-ZZ-AVG,"땅콩, 소립종, 말린것",견과류 및 종실류,100,g,564,5.1,22.4,46.3,24.2,-,-,-,-,-,-,-,농진청('93),국립농업과학원
R000629-ZZ-AVG,"땅콩, 삶은것, 소금첨가",견과류 및 종실류,100,g,318,41.78,13.50,22.01,21.26,2.47,8.8,"13,619",0,3.055,17.877,0,USDA('18),국립농업과학원
R000630-ZZ-AVG,"땅콩, 볶은것",견과류 및 종실류,100,g,567,2.7,28.50,46.24,19.91,5.18,10.5,"23,910",0,8.54,35.63,0.06,농진청('14),국립농업과학원
R000631-ZZ-AVG,"땅콩, 가루",견과류 및 종실류,100,g,560,1.2,28.43,43.11,24.62,6.26,12.1,"24,094",0,8.34,32.85,0.05,농진청('14),국립농업과학원
R000632-ZZ-AVG,"땅콩, 조미, 볶은것",견과류 및 종실류,100,g,558,2.2,26.54,43.59,24.92,5.31,8.5,"23,126",0,8.62,32.74,0.13,농진청('18),국립농업과학원
R000633-ZZ-AVG,"때죽, 말린것",견과류 및 종실류,100,g,551,7.6,13.6,44.7,31.8,-,-,-,-,-,-,-,농진청('91),국립농업과학원
R000634-ZZ-AVG,"마름, 생것",견과류 및 종실류,100,g,183,51.8,5.8,0.5,40.6,1.6,2.9,"-6,370",0,0.06,0.19,-,JAPAN('20),국립농업과학원
R000635-ZZ-AVG,"마카다미아, 조미, 볶은것",견과류 및 종실류,100,g,751,1.3,8.3,76.7,12.2,-3.8,6.2,"8,937",0,12.46,60.79,-,JAPAN('20),국립농업과학원
R000636-ZZ-AVG,"머루씨, 생것",견과류 및 종실류,100,g,282,33.6,6.3,4.8,54.0,-,-,-,-,-,-,-,농진청('06),국립농업과학원
R000637-ZZ-AVG,"목화씨, 구운것",견과류 및 종실류,100,g,506,4.65,32.59,36.29,21.90,-,5.5,"36,254",0,9.699,24.987,-,USDA('18),국립농업과학원
R000638-ZZ-AVG,"밤, 생것",견과류 및 종실류,100,g,151,61.5,3.28,0.50,33.39,4.95,5.4,"2,543",0,0.13,0.35,0,농진청('13),국립농업과학원
R000639-ZZ-AVG,"밤, 단택, 생것",견과류 및 종실류,100,g,150,61.9,2.7,0.1,34.3,-,4.6,-,-,-,-,-,농진청('11),국립농업과학원
R000640-ZZ-AVG,"밤, 대보, 생것",견과류 및 종실류,100,g,146,62.9,2.9,0.1,33.3,-,3.8,-,-,-,-,-,농진청('11),국립농업과학원
R000641-ZZ-AVG,"밤, 옥광, 생것",견과류 및 종실류,100,g,147,62.7,2.9,0.1,33.5,-,5.2,-,-,-,-,-,농진청('11),국립농업과학원
R000642-ZZ-AVG,"밤, 이평, 생것",견과류 및 종실류,100,g,157,60.1,3.5,0.1,35.4,-,4.8,-,-,-,-,-,농진청('11),국립농업과학원
R000643-ZZ-AVG,"밤, 축파, 생것",견과류 및 종실류,100,g,141,64.2,2.8,0.1,32.1,-,4.2,-,-,-,-,-,농진청('11),국립농업과학원
R000644-ZZ-AVG,"밤, 삶은것",견과류 및 종실류,100,g,154,60.9,3.45,0.51,33.95,6.06,5.6,"2,864",0,0.12,0.36,0,농진청('13),국립농업과학원
R000645-ZZ-AVG,"밤, 단택, 삶은것",견과류 및 종실류,100,g,150,61.8,3.2,0.2,33.6,-,-,-,-,-,-,-,농진청('05),국립농업과학원
R000646-ZZ-AVG,"밤, 대보, 삶은것",견과류 및 종실류,100,g,155,60.8,3.0,0.1,35.2,-,5.6,-,-,-,-,-,농진청('11),국립농업과학원
R000647-ZZ-AVG,"밤, 옥광, 삶은것",견과류 및 종실류,100,g,154,60.7,3.1,0.1,35.0,-,-,-,-,-,-,-,농진청('05),국립농업과학원
R000648-ZZ-AVG,"밤, 이평, 삶은것",견과류 및 종실류,100,g,155,60.6,3.7,0.2,34.4,-,-,-,-,-,-,-,농진청('05),국립농업과학원
R000649-ZZ-AVG,"밤, 축파, 삶은것",견과류 및 종실류,100,g,138,65.0,2.5,0.1,31.6,-,5.2,-,-,-,-,-,농진청('11),국립농업과학원
R000650-ZZ-AVG,"밤, 구운것",견과류 및 종실류,100,g,206,47.8,4.65,0.68,45.36,7.75,7.5,"4,128",0,0.15,0.49,0,농진청('13),국립농업과학원
R000651-ZZ-AVG,"밤, 단택, 구운것",견과류 및 종실류,100,g,187,51.9,3.8,0.1,42.5,-,7.8,-,-,-,-,-,농진청('11),국립농업과학원
R000652-ZZ-AVG,"밤, 대보, 구운것",견과류 및 종실류,100,g,181,53.8,3.6,0.1,41.2,-,6.0,-,-,-,-,-,농진청('11),국립농업과학원
R000653-ZZ-AVG,"밤, 축파, 구운것",견과류 및 종실류,100,g,185,52.9,3.5,0.1,42.2,-,6.3,-,-,-,-,-,농진청('11),국립농업과학원
R000654-ZZ-AVG,"밤, 말린것",견과류 및 종실류,100,g,377,8.4,6.7,4.1,78.6,-,-,-,-,-,-,-,보전('74),국립농업과학원
R000655-ZZ-AVG,"밤, 구운것, 레토르트",견과류 및 종실류,100,g,199,50.4,4.48,1.10,42.81,7.63,3.8,"3,530",0,0.21,0.85,0.01,농진청('18),국립농업과학원
R000656-ZZ-AVG,"밤, 통조림",견과류 및 종실류,100,g,225,43.4,1.1,0,55.2,-,-,-,-,-,-,-,농진청('03),국립농업과학원
R000657-ZZ-AVG,"브라질너트, 말린것",견과류 및 종실류,100,g,659,3.42,14.32,67.10,11.74,2.33,7.5,"15,731",0,16.134,48.278,-,USDA('18),국립농업과학원
R000658-ZZ-AVG,"브라질너트, 조미, 볶은것",견과류 및 종실류,100,g,703,2.8,14.9,69.1,9.6,-2.3,7.2,"-16,320",0,15.81,50.06,-,JAPAN('20),국립농업과학원
R000659-ZZ-AVG,"삼씨(대마씨), 말린것",견과류 및 종실류,100,g,450,4.6,29.9,28.3,31.7,2.3,23.0,"29,920",0,2.95,23.12,-,JAPAN('20),국립농업과학원
R000660-ZZ-AVG,"수박씨, 말린것",견과류 및 종실류,100,g,451,8.1,19.3,22.9,47.2,-,-,-,-,-,-,-,농진청('91),국립농업과학원
R000661-ZZ-AVG,"수박씨, 조미, 볶은것",견과류 및 종실류,100,g,528,5.9,29.6,46.4,13.4,2.0,7.1,"-33,280",0,6.24,29.02,-,JAPAN('20),국립농업과학원
R000662-ZZ-AVG,"아마씨, 볶은것",견과류 및 종실류,100,g,540,0.8,21.8,43.3,30.4,0.9,23.8,"23,690",2,3.62,35.68,-,JAPAN('20),국립농업과학원
R000663-ZZ-AVG,"아몬드, 말린것",견과류 및 종실류,100,g,581,3.4,23.44,49.96,20.09,6.82,14.5,"20,253",0,3.82,43.95,0.03,농진청('13),국립농업과학원
R000664-ZZ-AVG,"아몬드, 볶은것",견과류 및 종실류,100,g,594,1.7,23.45,51.29,20.49,3.91,11.3,"19,928",0,3.79,45.18,0.04,농진청('13),국립농업과학원
R000665-ZZ-AVG,"아몬드, 조미, 볶은것",견과류 및 종실류,100,g,568,1.5,25.74,46.61,21.82,5.82,9.6,"22,154",0,3.96,40.58,0.06,농진청('13),국립농업과학원
R000666-ZZ-AVG,"연씨, 생것",견과류 및 종실류,100,g,81,77.5,5.9,0.5,14.9,-0.5,2.6,"-6,771",0,0.10,0.24,-,JAPAN('20),국립농업과학원
R000667-ZZ-AVG,"은행, 생것",견과류 및 종실류,100,g,203,49.6,4.69,1.53,42.78,2.95,2.2,"4,083",0,0.15,1.26,0.05,농진청('15),국립농업과학원
R000668-ZZ-AVG,"은행, 삶은것",견과류 및 종실류,100,g,186,54.5,4.31,1.86,38.25,1.91,3.5,"3,934",0,0.19,1.52,0.06,농진청('15),국립농업과학원
R000669-ZZ-AVG,"은행, 볶은것",견과류 및 종실류,100,g,221,45.7,5.00,2.05,45.76,3.33,4.3,"4,714",0,0.21,1.69,0.07,농진청('15),국립농업과학원
R000670-ZZ-AVG,"잣, 생것",견과류 및 종실류,100,g,630,3.3,15.96,59.28,19.38,1.33,4.1,"15,806",0,3.95,35.10,3.98,농진청('19),국립농업과학원
R000671-ZZ-AVG,"잣, 볶은것",견과류 및 종실류,100,g,708,0.5,17.6,75.0,4.7,-,-,-,-,-,-,-,농진청('01),국립농업과학원
R000672-ZZ-AVG,"잣, 말린것",견과류 및 종실류,100,g,640,3.5,15.4,61.5,17.6,-,-,-,-,-,-,-,농진청('08),국립농업과학원
R000673-ZZ-AVG,잣두부,견과류 및 종실류,100,g,78,83.6,7.5,4.3,4.0,-,-,-,-,-,-,-,농진청('08),국립농업과학원
R000674-ZZ-AVG,잣죽,견과류 및 종실류,100,g,64,87.1,1.45,3.06,7.90,0.12,3.1,"1,225",0,0.27,2.24,0.51,농진청('18),국립농업과학원
R000675-ZZ-AVG,"참깨, 검은색, 말린것",견과류 및 종실류,100,g,549,2.7,20.85,44.12,26.45,0,22.4,"17,429",0,6.06,36.11,0.04,농진청('13),국립농업과학원
R000676-ZZ-AVG,"참깨, 검은색, 볶은것",견과류 및 종실류,100,g,539,3.3,21.28,42.30,27.42,0,19.3,"17,338",0,6.27,34.15,0.05,농진청('13),국립농업과학원
R000677-ZZ-AVG,"참깨, 흰색, 말린것",견과류 및 종실류,100,g,556,2.4,25.41,45.31,21.77,0,14.9,"21,383",0,6.68,36.60,0.05,농진청('13),국립농업과학원
R000678-ZZ-AVG,"참깨, 흰색, 볶은것",견과류 및 종실류,100,g,557,2.6,25.96,45.11,21.83,0,14.1,"21,597",0,7.10,36.00,0.06,농진청('13),국립농업과학원
R000679-ZZ-AVG,"참깨 과자, 엿강정",견과류 및 종실류,100,g,538,4.4,15.0,32.9,45.4,-,-,-,-,-,-,-,식약처('96),국립농업과학원
R000680-ZZ-AVG,참깨죽,견과류 및 종실류,100,g,38,91.6,1.0,1.2,5.9,-,-,-,-,-,-,-,국('80),국립농업과학원
R000681-ZZ-AVG,"치아씨, 말린것",견과류 및 종실류,100,g,486,5.80,16.54,30.74,42.12,-,34.4,"19,486",0,3.330,25.974,0.140,USDA('18),국립농업과학원
R000682-ZZ-AVG,"캐슈넛, 조미, 볶은것",견과류 및 종실류,100,g,581,2.34,16.84,47.77,30.16,5.01,3.3,"18,502",0,8.478,34.469,-,USDA('18),국립농업과학원
R000683-ZZ-AVG,"코코넛, 말린것",견과류 및 종실류,100,g,660,3.00,6.88,64.53,23.65,7.35,16.3,"7,514",0,57.218,3.451,-,USDA('18),국립농업과학원
